election_id,cancellation_reason
local.allerdale.marsh-wampool.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.nefyn.2017-05-04,EQUAL_CANDIDATES
local.somerset-west-and-taunton.quantock-vale.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.llanuwchllyn.2022-05-05,EQUAL_CANDIDATES
local.north-kesteven.north-hykeham-witham.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.canol-tref-caernarfon.2022-05-05,EQUAL_CANDIDATES
local.powys.llansantffraid.2022-05-05,EQUAL_CANDIDATES
local.west-suffolk.mildenhall-queensway.2023-05-04,EQUAL_CANDIDATES
local.denbighshire.llanbedr-dyffryn-clwydllangynhafal.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.pen-y-groes.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.penrhyndeudraeth.2017-05-04,EQUAL_CANDIDATES
local.powys.ynyscedwyn.2017-05-04,EQUAL_CANDIDATES
local.cherwell.bicester-west.2018-05-03,EQUAL_CANDIDATES
local.pembrokeshire.tenby-north.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.diffwys-a-maenofferen.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.martletwy.2022-05-05,EQUAL_CANDIDATES
local.lichfield.bourne-vale.2023-05-04,EQUAL_CANDIDATES
local.hambleton.huby.2019-05-02,EQUAL_CANDIDATES
local.sevenoaks.leigh-and-chiddingstone-causeway.2019-05-02,EQUAL_CANDIDATES
local.blaby.pastures.2019-05-02,EQUAL_CANDIDATES
local.epping-forest.moreton-and-fyfield.by.2018-05-03,EQUAL_CANDIDATES
local.powys.meifod.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.y-felinheli.2017-05-04,EQUAL_CANDIDATES
local.highland.caol-and-mallaig.2022-05-05,EQUAL_CANDIDATES
local.denbighshire.llandrillo.2017-05-04,EQUAL_CANDIDATES
local.south-kesteven.glen.2023-05-04,EQUAL_CANDIDATES
local.fenland.clarkson.2019-05-02,EQUAL_CANDIDATES
local.south-staffordshire.wombourne-south-west.2019-05-02,CANDIDATE_DEATH
local.pembrokeshire.burton.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.dwyrain-porthmadog.2022-05-05,EQUAL_CANDIDATES
local.waverley.alfold-cranleigh-rural-and-ellens-green.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.llangwm.2017-05-04,EQUAL_CANDIDATES
local.powys.yscir.2017-05-04,UNDER_CONTESTED
local.city-of-london.lime-street.by.2019-08-07,EQUAL_CANDIDATES
local.gwynedd.glyder.2017-05-04,EQUAL_CANDIDATES
local.north-kesteven.leasingham-and-rauceby.2019-05-02,EQUAL_CANDIDATES
local.rutland.exton.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.llandderfel.2022-05-05,EQUAL_CANDIDATES
local.carmarthenshire.llanybydder.2017-05-04,EQUAL_CANDIDATES
local.wrexham.little-acton.2017-05-04,EQUAL_CANDIDATES
local.ceredigion.lampeter.2022-05-05,EQUAL_CANDIDATES
local.wychavon.south-bredon-hill.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.merlins-bridge.2022-05-05,EQUAL_CANDIDATES
local.rochford.foulness-the-wakerings.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.tregarth-mynydd-llandygai.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.teigl.2022-05-05,EQUAL_CANDIDATES
local.isles-of-scilly.tresco.2017-05-04,EQUAL_CANDIDATES
local.west-suffolk.barningham.2019-05-02,EQUAL_CANDIDATES
local.wealden.hadlow-down-rotherfield.2023-05-04,EQUAL_CANDIDATES
local.luton.farley.2023-05-04,EQUAL_CANDIDATES
